GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC02_VC18,Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC03_VC18,Percent; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC04_VC18,Percent Margin of Error; HOUSEHOLDS BY TYPE - Households with one or more people 65 years and over
HC01_VC20,Estimate; HOUSEHOLDS BY TYPE - Average household size
HC02_VC20,Margin of Error; HOUSEHOLDS BY TYPE - Average household size
HC03_VC20,Percent; HOUSEHOLDS BY TYPE - Average household size
HC04_VC20,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average household size
HC01_VC21,Estimate; HOUSEHOLDS BY TYPE - Average family size
HC02_VC21,Margin of Error; HOUSEHOLDS BY TYPE - Average family size
HC03_VC21,Percent; HOUSEHOLDS BY TYPE - Average family size
HC04_VC21,Percent Margin of Error; HOUSEHOLDS BY TYPE - Average family size
HC01_VC25,Estimate; RELATIONSHIP - Population in households
HC02_VC25,Margin of Error; RELATIONSHIP - Population in households
HC03_VC25,Percent; RELATIONSHIP - Population in households
HC04_VC25,Percent Margin of Error; RELATIONSHIP - Population in households
HC01_VC26,Estimate; RELATIONSHIP - Householder
HC02_VC26,Margin of Error; RELATIONSHIP - Householder
HC03_VC26,Percent; RELATIONSHIP - Householder
HC04_VC26,Percent Margin of Error; RELATIONSHIP - Householder
HC01_VC27,Estimate; RELATIONSHIP - Spouse
HC02_VC27,Margin of Error; RELATIONSHIP - Spouse
HC03_VC27,Percent; RELATIONSHIP - Spouse
HC04_VC27,Percent Margin of Error; RELATIONSHIP - Spouse
HC01_VC28,Estimate; RELATIONSHIP - Child
HC02_VC28,Margin of Error; RELATIONSHIP - Child
HC03_VC28,Percent; RELATIONSHIP - Child
HC04_VC28,Percent Margin of Error; RELATIONSHIP - Child
HC01_VC29,Estimate; RELATIONSHIP - Other relatives
HC02_VC29,Margin of Error; RELATIONSHIP - Other relatives
HC03_VC29,Percent; RELATIONSHIP - Other relatives
HC04_VC29,Percent Margin of Error; RELATIONSHIP - Other relatives
HC01_VC30,Estimate; RELATIONSHIP - Nonrelatives
HC02_VC30,Margin of Error; RELATIONSHIP - Nonrelatives
HC03_VC30,Percent; RELATIONSHIP - Nonrelatives
HC04_VC30,Percent Margin of Error; RELATIONSHIP - Nonrelatives
HC01_VC31,Estimate; RELATIONSHIP - Nonrelatives - Unmarried partner
HC02_VC31,Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
HC03_VC31,Percent; RELATIONSHIP - Nonrelatives - Unmarried partner
HC04_VC31,Percent Margin of Error; RELATIONSHIP - Nonrelatives - Unmarried partner
HC01_VC35,Estimate; MARITAL STATUS - Males 15 years and over
HC02_VC35,Margin of Error; MARITAL STATUS - Males 15 years and over
HC03_VC35,Percent; MARITAL STATUS - Males 15 years and over
HC04_VC35,Percent Margin of Error; MARITAL STATUS - Males 15 years and over
HC01_VC36,Estimate; MARITAL STATUS - Never married
HC02_VC36,Margin of Error; MARITAL STATUS - Never married
HC03_VC36,Percent; MARITAL STATUS - Never married
HC04_VC36,Percent Margin of Error; MARITAL STATUS - Never married
HC01_VC37,"Estimate; MARITAL STATUS - Now married, except separated"
HC02_VC37,"Margin of Error; MARITAL STATUS - Now married, except separated"
HC03_VC37,"Percent; MARITAL STATUS - Now married, except separated"
HC04_VC37,"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
HC01_VC38,Estimate; MARITAL STATUS - Separated
HC02_VC38,Margin of Error; MARITAL STATUS - Separated
HC03_VC38,Percent; MARITAL STATUS - Separated
HC04_VC38,Percent Margin of Error; MARITAL STATUS - Separated
HC01_VC39,Estimate; MARITAL STATUS - Widowed
HC02_VC39,Margin of Error; MARITAL STATUS - Widowed
HC03_VC39,Percent; MARITAL STATUS - Widowed
HC04_VC39,Percent Margin of Error; MARITAL STATUS - Widowed
HC01_VC40,Estimate; MARITAL STATUS - Divorced
HC02_VC40,Margin of Error; MARITAL STATUS - Divorced
HC03_VC40,Percent; MARITAL STATUS - Divorced
HC04_VC40,Percent Margin of Error; MARITAL STATUS - Divorced
HC01_VC42,Estimate; MARITAL STATUS - Females 15 years and over
HC02_VC42,Margin of Error; MARITAL STATUS - Females 15 years and over
HC03_VC42,Percent; MARITAL STATUS - Females 15 years and over
HC04_VC42,Percent Margin of Error; MARITAL STATUS - Females 15 years and over
HC01_VC43,Estimate; MARITAL STATUS - Never married
HC02_VC43,Margin of Error; MARITAL STATUS - Never married
HC03_VC43,Percent; MARITAL STATUS - Never married
HC04_VC43,Percent Margin of Error; MARITAL STATUS - Never married
HC01_VC44,"Estimate; MARITAL STATUS - Now married, except separated"
HC02_VC44,"Margin of Error; MARITAL STATUS - Now married, except separated"
HC03_VC44,"Percent; MARITAL STATUS - Now married, except separated"
HC04_VC44,"Percent Margin of Error; MARITAL STATUS - Now married, except separated"
HC01_VC45,Estimate; MARITAL STATUS - Separated
HC02_VC45,Margin of Error; MARITAL STATUS - Separated
HC03_VC45,Percent; MARITAL STATUS - Separated
HC04_VC45,Percent Margin of Error; MARITAL STATUS - Separated
HC01_VC46,Estimate; MARITAL STATUS - Widowed
HC02_VC46,Margin of Error; MARITAL STATUS - Widowed
HC03_VC46,Percent; MARITAL STATUS - Widowed
HC04_VC46,Percent Margin of Error; MARITAL STATUS - Widowed
HC01_VC47,Estimate; MARITAL STATUS - Divorced
HC02_VC47,Margin of Error; MARITAL STATUS - Divorced
HC03_VC47,Percent; MARITAL STATUS - Divorced
HC04_VC47,Percent Margin of Error; MARITAL STATUS - Divorced
HC01_VC51,Estimate; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
HC02_VC51,Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
HC03_VC51,Percent; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
HC04_VC51,Percent Margin of Error; FERTILITY - Number of women 15 to 50 years old who had a birth in the past 12 months
HC01_VC52,"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC02_VC52,"Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC03_VC52,"Percent; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC04_VC52,"Percent Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married)"
HC01_VC53,"Estimate; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC02_VC53,"Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC03_VC53,"Percent; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC04_VC53,"Percent Margin of Error; FERTILITY - Unmarried women (widowed, divorced, and never married) - Per 1,000 unmarried women"
HC01_VC54,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old"
HC02_VC54,"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old"
HC03_VC54,"Percent; FERTILITY - Per 1,000 women 15 to 50 years old"
HC04_VC54,"Percent Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old"
HC01_VC55,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC02_VC55,"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC03_VC55,"Percent; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC04_VC55,"Percent Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 15 to 19 years old"
HC01_VC56,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC02_VC56,"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC03_VC56,"Percent; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC04_VC56,"Percent Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 20 to 34 years old"
HC01_VC57,"Estimate; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC02_VC57,"Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC03_VC57,"Percent; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC04_VC57,"Percent Margin of Error; FERTILITY - Per 1,000 women 15 to 50 years old - Per 1,000 women 35 to 50 years old"
HC01_VC61,Estimate; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
HC02_VC61,Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
HC03_VC61,Percent; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
HC04_VC61,Percent Margin of Error; GRANDPARENTS - Number of grandparents living with own grandchildren under 18 years
HC01_VC62,Estimate; GRANDPARENTS - Responsible for grandchildren
HC02_VC62,Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC03_VC62,Percent; GRANDPARENTS - Responsible for grandchildren
HC04_VC62,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren
HC01_VC64,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
HC02_VC64,Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
HC03_VC64,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
HC04_VC64,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - Less than 1 year
HC01_VC65,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC02_VC65,Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC03_VC65,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC04_VC65,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 1 or 2 years
HC01_VC66,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC02_VC66,Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC03_VC66,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC04_VC66,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 3 or 4 years
HC01_VC67,Estimate; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC02_VC67,Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC03_VC67,Percent; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC04_VC67,Percent Margin of Error; GRANDPARENTS - Responsible for grandchildren - Years responsible for grandchildren - 5 or more years
HC01_VC69,Estimate; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
HC02_VC69,Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
HC03_VC69,Percent; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
HC04_VC69,Percent Margin of Error; GRANDPARENTS - Number of grandparents responsible for own grandchildren under 18 years
HC01_VC70,Estimate; GRANDPARENTS - Who are female
HC02_VC70,Margin of Error; GRANDPARENTS - Who are female
HC03_VC70,Percent; GRANDPARENTS - Who are female
HC04_VC70,Percent Margin of Error; GRANDPARENTS - Who are female
HC01_VC71,Estimate; GRANDPARENTS - Who are married
HC02_VC71,Margin of Error; GRANDPARENTS - Who are married
HC03_VC71,Percent; GRANDPARENTS - Who are married
HC04_VC71,Percent Margin of Error; GRANDPARENTS - Who are married
HC01_VC75,Estimate; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC02_VC75,Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC03_VC75,Percent; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC04_VC75,Percent Margin of Error; SCHOOL ENROLLMENT - Population 3 years and over enrolled in school
HC01_VC76,"Estimate; SCHOOL ENROLLMENT - Nursery school, preschool"
HC02_VC76,"Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC03_VC76,"Percent; SCHOOL ENROLLMENT - Nursery school, preschool"
HC04_VC76,"Percent Margin of Error; SCHOOL ENROLLMENT - Nursery school, preschool"
HC01_VC77,Estimate; SCHOOL ENROLLMENT - Kindergarten
HC02_VC77,Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC03_VC77,Percent; SCHOOL ENROLLMENT - Kindergarten
HC04_VC77,Percent Margin of Error; SCHOOL ENROLLMENT - Kindergarten
HC01_VC78,Estimate; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC02_VC78,Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC03_VC78,Percent; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC04_VC78,Percent Margin of Error; SCHOOL ENROLLMENT - Elementary school (grades 1-8)
HC01_VC79,Estimate; SCHOOL ENROLLMENT - High school (grades 9-12)
HC02_VC79,Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC03_VC79,Percent; SCHOOL ENROLLMENT - High school (grades 9-12)
HC04_VC79,Percent Margin of Error; SCHOOL ENROLLMENT - High school (grades 9-12)
HC01_VC80,Estimate; SCHOOL ENROLLMENT - College or graduate school
HC02_VC80,Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC03_VC80,Percent; SCHOOL ENROLLMENT - College or graduate school
HC04_VC80,Percent Margin of Error; SCHOOL ENROLLMENT - College or graduate school
HC01_VC84,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC02_VC84,Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC03_VC84,Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC04_VC84,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Population 25 years and over
HC01_VC85,Estimate; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC02_VC85,Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC03_VC85,Percent; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC04_VC85,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Less than 9th grade
HC01_VC86,"Estimate; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC02_VC86,"Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC03_VC86,"Percent; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC04_VC86,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - 9th to 12th grade, no diploma"
HC01_VC87,Estimate; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC02_VC87,Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC03_VC87,Percent; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC04_VC87,Percent Margin of Error; EDUCATIONAL ATTAINMENT - High school graduate (includes equivalency)
HC01_VC88,"Estimate; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC02_VC88,"Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC03_VC88,"Percent; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC04_VC88,"Percent Margin of Error; EDUCATIONAL ATTAINMENT - Some college, no degree"
HC01_VC89,Estimate; EDUCATIONAL ATTAINMENT - Associate's degree
HC02_VC89,Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC03_VC89,Percent; EDUCATIONAL ATTAINMENT - Associate's degree
HC04_VC89,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Associate's degree
HC01_VC90,Estimate; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC02_VC90,Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC03_VC90,Percent; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC04_VC90,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Bachelor's degree
HC01_VC91,Estimate; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC02_VC91,Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC03_VC91,Percent; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC04_VC91,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Graduate or professional degree
HC01_VC93,Estimate; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC02_VC93,Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC03_VC93,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC04_VC93,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher
HC01_VC94,Estimate; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC02_VC94,Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC03_VC94,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC04_VC94,Percent Margin of Error; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
HC01_VC98,Estimate; VETERAN STATUS - Civilian population 18 years and over
HC02_VC98,Margin of Error; VETERAN STATUS - Civilian population 18 years and over
HC03_VC98,Percent; VETERAN STATUS - Civilian population 18 years and over
HC04_VC98,Percent Margin of Error; VETERAN STATUS - Civilian population 18 years and over
HC01_VC99,Estimate; VETERAN STATUS - Civilian veterans
HC02_VC99,Margin of Error; VETERAN STATUS - Civilian veterans
HC03_VC99,Percent; VETERAN STATUS - Civilian veterans
HC04_VC99,Percent Margin of Error; VETERAN STATUS - Civilian veterans
HC01_VC103,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC02_VC103,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC03_VC103,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC04_VC103,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Total Civilian Noninstitutionalized Population
HC01_VC104,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC02_VC104,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC03_VC104,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC04_VC104,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC01_VC106,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC02_VC106,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC03_VC106,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC04_VC106,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - Under 18 years
HC01_VC107,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC02_VC107,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC03_VC107,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC04_VC107,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC01_VC109,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC02_VC109,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC03_VC109,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC04_VC109,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 18 to 64 years
HC01_VC110,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC02_VC110,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC03_VC110,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC04_VC110,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC01_VC112,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC02_VC112,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC03_VC112,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC04_VC112,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - 65 years and over
HC01_VC113,Estimate; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC02_VC113,Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC03_VC113,Percent; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC04_VC113,Percent Margin of Error; DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION - With a disability
HC01_VC117,Estimate; RESIDENCE 1 YEAR AGO - Population 1 year and over
HC02_VC117,Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over
HC03_VC117,Percent; RESIDENCE 1 YEAR AGO - Population 1 year and over
HC04_VC117,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Population 1 year and over
HC01_VC118,Estimate; RESIDENCE 1 YEAR AGO - Same house
HC02_VC118,Margin of Error; RESIDENCE 1 YEAR AGO - Same house
HC03_VC118,Percent; RESIDENCE 1 YEAR AGO - Same house
HC04_VC118,Percent Margin of Error; RESIDENCE 1 YEAR AGO - Same house
HC01_VC119,Estimate; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC02_VC119,Margin of Error; RESIDENCE 1 YEAR AGO - Different house in the U.S.
HC03_VC119,Percent; RESIDENCE 1 YEAR AGO - Different house in the U.S.
